Date,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1-Jan,,677,1410,1080,439,637,2190,589,1180,1140,951,1110,473,1010,1490,1010,983,535,799,691,731,1170,1330,824,827,878,867,852,1490,827,1200,821,547,728,756,711,1250,674,762,1240,742,561,1080,1120,750,1080,1160,1450,1480,1150,988,1200,1620,1270,731,1330,1230,934,1120,742,742,1020,864,793,1310,1410,1060,810,861,2760,765,737,800,610,710,952,560,739,2000,742,1040,558,691,763,1250,1030,1300,787,1080,843,711,523,680,1210,1730,689,1110,1040,827,816,1195,876
2-Jan,,697,1410,1020,399,637,2050,566,1140,1140,951,1080,453,954,1380,1040,954,535,773,691,711,1140,1300,878,841,835,909,980,1460,787,1140,787,564,697,753,714,1290,668,748,1210,731,589,1060,1040,750,1360,1090,1250,1390,1130,1030,1240,1520,1220,736,1250,1170,1010,1090,711,745,1040,824,762,1210,1360,1000,810,847,2760,720,742,850,630,688,915,530,722,1790,725,1050,545,688,683,1300,1120,1270,759,1080,843,719,704,660,1080,1650,1040,1140,1040,896,743,1128,876
3-Jan,,677,1410,1050,379,586,2170,547,1110,1180,980,1140,453,954,1350,1070,903,535,750,671,711,1080,1500,1010,855,807,852,702,1400,776,793,782,634,651,748,716,1320,665,731,1150,722,629,1060,1010,753,1570,1130,1190,1380,1110,1530,1380,1360,1170,725,1260,1140,1030,1120,716,750,1010,770,878,1200,1310,985,813,826,2680,670,851,1010,658,693,932,535,797,1630,705,1030,540,708,639,1520,1110,1190,766,1070,846,756,787,620,940,1570,1180,1130,1040,893,748,1114,856
4-Jan,,697,1410,1020,360,626,2010,589,1110,1180,951,1110,453,954,1270,1040,852,515,750,651,711,1080,1530,1090,883,779,881,776,1400,765,782,782,600,660,716,699,1170,680,719,1060,711,612,1050,980,753,1410,1190,1150,1320,1040,1320,1330,1290,1130,728,1280,1090,1090,1090,716,753,991,728,867,1210,1270,940,816,824,2500,655,899,2590,678,687,947,528,864,1480,688,1030,540,764,745,1340,1110,1080,762,1060,862,798,829,580,920,1510,1020,1130,1000,865,782,1301,844
5-Jan,,578,1410,991,360,677,1970,612,1080,1180,951,1080,453,954,1270,1040,852,515,750,651,711,1110,1610,1070,804,750,881,765,1470,750,793,728,569,793,722,691,1090,680,699,926,702,592,1060,988,756,1230,1260,1140,1300,1080,1190,1450,1240,1100,742,1310,1110,1240,1070,702,753,957,665,838,1250,1240,923,818,796,2270,640,923,2050,710,659,933,520,801,1430,680,1010,542,857,640,1240,1100,954,756,1060,1100,827,763,560,885,1540,917,1130,968,831,822,1508,863
6-Jan,,578,2030,966,360,637,2050,612,1010,1080,951,1180,425,954,1230,983,878,515,728,671,711,1080,1610,1090,869,722,838,736,1470,750,977,665,558,816,722,617,1060,733,711,869,699,589,1050,1070,756,1140,1310,1190,1340,1100,1150,1540,1210,1140,756,1230,1130,1190,1060,677,759,1000,626,852,1210,1190,1040,821,730,2080,650,898,1540,738,654,887,538,805,1440,678,976,548,783,580,1140,1090,859,780,1010,1010,838,790,565,830,1690,875,1040,1000,806,831,1365,882
7-Jan,,578,1520,940,360,597,2130,612,951,1010,923,1140,439,929,1230,878,929,515,728,671,711,1080,1530,1090,790,708,827,702,1470,725,1120,685,547,1040,728,547,1030,719,722,830,708,592,1010,1170,759,1130,1340,1220,1420,1100,1180,1580,1200,1140,773,1220,1120,1220,1020,685,762,997,668,835,1160,1100,1000,824,676,1980,660,996,1360,736,655,838,556,809,1410,676,958,555,731,560,1300,1080,805,821,981,904,1590,842,570,820,1760,856,969,1240,767,860,1316,911
8-Jan,,677,1340,940,340,637,2170,612,951,951,923,1110,453,929,1200,827,1010,515,728,671,731,1080,1520,1060,714,694,816,668,1360,702,1160,716,476,1070,722,521,1010,702,714,881,714,578,949,1210,759,1070,1310,1270,1390,1080,1390,1720,1180,1100,810,1200,1110,1210,1020,711,762,991,699,821,1020,1050,1000,827,643,1900,680,1330,1300,728,712,806,544,772,1400,674,926,560,645,600,1280,1080,789,823,987,854,2150,827,590,820,1610,882,980,1270,745,865,1312,931
9-Jan,,498,1240,915,439,657,2170,612,923,980,923,1040,481,929,1160,827,1160,496,770,592,753,1200,1500,1030,702,665,816,714,1300,691,1080,821,501,1070,691,552,1000,722,699,861,711,595,889,1230,756,994,1320,1300,1350,1100,1200,1690,1150,1070,850,1190,1080,1190,1000,753,762,1040,691,801,957,1000,957,827,603,1860,700,1110,1230,754,713,798,522,732,1370,672,889,570,647,570,1320,1070,767,795,1000,837,1520,789,650,810,1540,893,941,1190,755,847,1397,1002
10-Jan,,538,1180,1240,518,677,1970,657,895,869,895,1010,496,903,1490,801,1270,496,847,572,827,1140,1470,994,753,651,852,725,1250,750,906,833,569,1320,680,541,997,668,748,858,708,541,852,1200,748,855,1320,1250,1270,1090,1140,1600,1140,1010,889,1160,1020,1190,1000,742,762,1030,699,782,903,966,895,830,581,1820,730,1430,1210,760,742,812,524,699,1370,692,970,580,679,575,1350,1060,750,785,1030,826,1260,722,710,805,1550,893,981,1120,816,804,1463,959
